Temp_C,Pressure_bar,Conc_IBPE,Conc_Pd,Time_h,Solvent_to_reactant,N_rpm,yCO,P_CO_bar,kLa_proxy,Pd_deact_factor,Conversion_pct,Selectivity_pct,Yield_pct,Stage,Cost_index,Severity_index
101.6978,74.12,0.9834,0.008,5.9474,7.4051,1168.3749,0.7622,56.49097336088585,2.5754622458744616,1.0,96.98180732698178,95.94183028048256,93.04612098859748,1,0.8316970458252538,0.6010611016791434
126.9786,52.1125,0.932,0.0048,4.1963,6.4667,1074.1353,0.5611,29.24270483608833,2.0694286414395884,1.0,99.16065949372653,93.76427948754768,92.9772779093932,1,0.5030424412845204,0.6265890161202944
127.6385,43.918,0.901,0.0094,3.1248,7.8277,1149.1336,0.7531,33.072526823037755,2.224648538132043,1.0,98.52757532337156,94.09405797624171,92.70859384735844,1,0.730229908501971,0.6097349703625067
124.6304,47.7545,0.838,0.0043,5.9522,5.6137,581.657,0.7963,38.02828252246273,1.2400071061465556,1.0,98.4012614058736,94.0583962531982,92.55464837128198,2,0.4904175414604554,0.6176287988843996
124.086,57.5816,0.9249,0.0077,3.8342,6.4587,1144.6615,0.6096,35.10236153671664,2.228295075814539,1.0,98.52177190713702,93.38262764324216,92.00221940756612,1,0.6619418527859529,0.6454552051223889
123.197,47.4674,0.6715,0.0042,4.9801,5.3696,890.0852,0.7742,36.74954098224693,1.63777200448603,1.0,97.51904789044012,94.29488320651132,91.95547231239236,2,0.46689604221964126,0.6001908985122517
124.2556,56.4383,0.843,0.0055,3.9983,5.64,721.2709,0.4121,23.25564125206653,1.518472107508988,1.0,97.54778861014498,93.93458482492068,91.63111023683096,1,0.48418532410078785,0.6024796136973646
113.9549,69.8814,0.9819,0.0084,3.6841,7.0922,816.6982,0.5827,40.72243153198173,1.9356166234470904,1.0,97.13929696844124,94.30271572908867,91.6049950813844,1,0.6915000883403426,0.6324763670113677
111.4204,68.8796,0.9899,0.01,3.1112,5.9884,1069.2339,0.7495,51.624831274856334,2.174991963716737,1.0,98.02622479435998,93.37243608933358,91.52947409690024,1,0.7726384333333335,0.6434034375828543
123.7297,51.9719,0.8444,0.0043,3.8706,4.195,1133.7392,0.7764,40.34930301184023,1.806076827097556,1.0,97.95678226308424,93.25002812316838,91.34472700887687,2,0.43221063669855064,0.6359342719442292
120.4244,56.7306,0.7357,0.0052,3.7246,6.3235,1015.957,0.6566,37.24783783178109,2.023466142995606,1.0,96.62096903697876,94.02821467536027,90.85097218750376,1,0.49900231356554786,0.6184463165821275
125.667,45.8651,0.68,0.0063,2.9728,7.2633,1008.8281,0.5673,26.01912448735449,1.996757019964952,1.0,96.5704882417739,94.03199297380644,90.8071547182754,1,0.5160283891599984,0.5781391768626102
123.5157,53.2626,0.8251,0.0049,3.6222,5.4618,1168.1805,0.5363,28.56655325954365,2.064776941742261,1.0,97.47698146116284,93.15220598459256,90.80195855826553,2,0.47571831787303254,0.6004066775318122
122.9742,55.709,0.8418,0.0054,3.4389,6.0968,1125.7145,0.7467,41.60034379413579,2.130947889451869,1.0,96.69271294979166,93.82032511579024,90.71741765277234,2,0.5019501236581099,0.6498247174090241
125.7754,43.0335,0.9786,0.0051,4.6856,3.14,663.4159,0.6365,27.39001181743772,1.044527948239417,1.0,97.65972251576795,92.7817987725187,90.61044722637996,1,0.42831142418238644,0.5714767060581257
120.3383,48.6642,0.7038,0.0049,3.537,5.8587,1035.3772,0.7374,35.88628121075886,1.899358181677543,1.0,94.99052772976977,94.92247057871629,90.16735573685804,2,0.4551698242222389,0.5786200087977676
122.2483,60.377,0.8043,0.0045,3.2232,6.2001,765.238,0.5652,34.12576589600749,1.6773886134486498,1.0,96.1926389963092,93.54885706905196,89.98711436560642,2,0.4150937614845424,0.638866005367644
127.6589,47.8177,0.6089,0.0033,3.7195,3.0953,1182.5876,0.6954,33.253808507511096,1.6065653778672235,1.0,96.17991979236926,92.77760825959253,89.23342920935464,1,0.35962620555928954,0.6272222426440845
128.765,49.8229,0.7964,0.0026,3.7762,7.7967,641.9456,0.6962,34.686328234040474,1.534602102524196,0.9961798032972484,93.64032219304625,95.05551645231402,89.01029186821091,1,0.35232506536093533,0.6498085226848966
124.1513,50.2437,0.6833,0.0036,4.1591,4.5888,543.3456,0.7194,36.14663949035659,1.1074198155999178,1.0,94.39352569549251,94.08456998403302,88.80974274337184,2,0.35183054897261035,0.6180321554440458
122.9565,52.1909,0.9686,0.0087,2.8256,6.6198,681.9109,0.6269,32.7201929856542,1.5204823097286528,1.0,96.47228916610744,92.04339203931262,88.79636732645959,1,0.6142123963301945,0.6049991432855141
123.9554,42.2216,0.9919,0.0051,3.2006,6.7755,935.9816,0.6315,26.661540435234745,1.7975398028294438,1.0,94.07746468471996,94.26106513495785,88.67842026378085,1,0.44112267338873556,0.5504022300222111
120.4116,56.8946,0.7696,0.0091,2.7045,3.9304,1155.6056,0.6879,39.13596564301199,1.832396324004144,1.0,96.23780808333191,92.07077234111355,88.60689318648232,2,0.6508254698880662,0.6253362664290877
124.5033,52.9755,0.8499,0.0086,2.0048,6.0655,1019.555,0.644,34.115960827158375,1.954386724643676,1.0,95.05504180514012,93.14657294592035,88.54051385379995,2,0.5969739555941334,0.625904274185766
120.0933,57.2488,0.5549,0.0068,3.0689,4.4576,716.6324,0.5049,28.90569172238232,1.3817625782112068,1.0,94.7802723468408,93.31978620026652,88.44874751410217,2,0.49110135467737664,0.590100853360322
123.9342,56.6453,0.4914,0.0075,2.9451,4.4495,862.2999,0.5953,33.72307505519996,1.56671102338871,1.0,95.79461591872952,92.31185565079242,88.42978756812862,2,0.5405161861836565,0.6355798692316189
124.5895,44.1112,0.8333,0.0047,2.9861,7.7069,828.7306,0.5078,22.400584326058507,1.7610076512299802,1.0,93.1133690861929,94.76000277247026,88.23423112761685,1,0.4163933508064791,0.549581495372576
120.0113,58.0066,0.6616,0.0044,3.6008,5.0963,751.1004,0.6631,38.46598714200863,1.5124735211641818,1.0,93.32634184138035,94.50422618473222,88.19733718371448,1,0.40580347855018684,0.6245328857114574
130.9214,36.589,0.6604,0.0063,2.9448,7.9371,1101.8966,0.514,18.804982292659048,2.056468423504716,0.8389314797765426,95.3372932636251,92.51036711231497,88.19687999312391,1,0.5198482478901572,0.5581239885945778
123.1516,54.35,0.9236,0.0086,1.947,4.6427,928.132,0.7307,39.71609704445381,1.657097158582299,1.0,94.80625246272214,92.95123157895004,88.12357927794886,1,0.563517330197308,0.6391979425291318
127.2128,33.3418,0.7931,0.0082,2.9118,3.4072,1175.9669,0.8114,27.054975635199085,1.4924036014832942,1.0,97.08498682282892,90.74000726442242,88.0949240956985,1,0.5589959539145564,0.5408023949744731
121.0095,66.7937,0.5796,0.0066,2.8405,6.8101,544.2853,0.4193,28.006126190718952,1.4142145776826034,1.0,93.89341730545654,93.63652496556098,87.91853313624216,1,0.5031991837531007,0.6356440158738251
126.7835,46.4794,0.5595,0.0053,3.4096,4.0339,810.3092,0.6661,30.958109019326667,1.3591778744454155,1.0,95.00362692924423,92.46841449898784,87.8483475380056,1,0.41138532675430506,0.6065393395882318
123.1764,60.6968,0.9936,0.0068,2.5492,4.3937,608.713,0.4618,28.028047066056384,1.2471637286097228,1.0,94.8352081167268,92.50573474694497,87.7280060671725,1,0.45801376737578936,0.6276450140297117
121.3095,57.9232,0.5556,0.005,2.939,5.7,782.5593,0.6889,39.90480639804253,1.6271282748615512,1.0,93.55636092535032,93.753397621159,87.71226705823034,2,0.41558943633662315,0.6397898546601418
123.655,53.6437,0.6487,0.0049,2.7828,4.1645,752.3783,0.7302,39.16930972886193,1.3643933065189982,1.0,93.53585681512266,93.6633587875221,87.60882516373127,2,0.36744458771430233,0.6385433181438255
128.3269,48.8874,0.8229,0.0041,2.5266,5.4752,722.4044,0.5228,25.55927440789276,1.4388651387561662,1.0,93.64254446922943,93.50768461205392,87.5629751449894,1,0.32496988894746187,0.6117248908834519
